"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Reqres User API","1","Pruebas Negativas","0","0","Actualizar usuario con campos inválidos","0"
"0","Reqres Auth API","1","Authentication","0","0","Login fallido","0"
"0","Reqres User API","1","User Management","0","0","Actualizar usuario","0"
"0","Reqres User API","1","User Retrieval","0","0","Listar usuarios","0"
"0","Reqres User API","1","Performance","0","0","Validar tiempo de respuesta","0"
"0","Reqres User API","1","Idempotencia","0","0","Verificar idempotencia en DELETE","0"
"0","Reqres Auth API","2","Authentication","0","0","Registro de usuario","0"
"0","Reqres User API","1","User Management","0","0","Crear usuario","0"
"0","Reqres Auth API","1","Authentication","0","0","Registro de usuario fallido","0"
"0","Reqres Auth API","2","Authentication","0","0","Login de usuario","0"
"0","Reqres User API","1","User Management","0","0","Borrar usuario","0"
"0","Reqres User API","1","Idempotencia","0","0","Verificar idempotencia en GET","0"
"0","Reqres User API","1","Validación de Schemas","0","0","Validación de esquema JSON","0"
"0","Reqres User API","1","User Retrieval","0","0","Obtener usuario por ID","0"
"0","Reqres User API","1","Pruebas Negativas","0","0","Usuario inexistente","0"
"0","Reqres User API","0","Pruebas Negativas","1","0","Crear usuario con body vacío","0"
